sep=,
This file should not be modified. It was automatically generated by CAPSENSE Tuner 8.0.0.8811
Signature,LLS data file
SchemaVersion,2
Time, 25.03.2025 17:13:44
Program,CAPSENSE™ Tuner 8.0
ConfigFile,C:/Users/Yashvi/YS_ES100_FINAL_OOB_NEW_SILICON/LLLLLSss/bsps/TARGET_APP_CY8CPROTO-041TP/config/design.cycapsense
ConfigDescription,deviceName - PSOC 4 (5th Generation LP)
DeviceName,PSOC 4 (5th Generation LP)
LiquidLevelWidget,LiquidLevel0
FoamWidget,LiquidLevel0_FR
SensorsCount,9
ConnectedDevice,KitProg3 UART-15100A98012D2400
Protocol,I2C
TankHeight,120
HeightStep,1
CoinCount,124
RepetitiveSamplesCount,10
CurrentCoin,123
CountOfFullItems,122
TableSize,1220
DutyCycle,18

Numb,CoinNumb,TargetLevel,Time,RepetitiveSamplesNumb,LiquidLevel0_Sns0,LiquidLevel0_Sns1,LiquidLevel0_Sns2,LiquidLevel0_Sns3,LiquidLevel0_Sns4,LiquidLevel0_Sns5,LiquidLevel0_Sns6,LiquidLevel0_Sns7,LiquidLevel0_Sns8,LiquidLevel0_FR_Sns0,LiquidLevel0_FR_Sns1,LiquidLevel0_FR_Sns2,LiquidLevel0_FR_Sns3,LiquidLevel0_FR_Sns4,LiquidLevel0_FR_Sns5,LiquidLevel0_FR_Sns6,LiquidLevel0_FR_Sns7,LiquidLevel0_FR_Sns8
0,0,0, 25.03.2025 15:23:59,0,23806,24232,24135,24054,24032,23938,23962,23982,23956,26826,27250,27077,26956,26778,26699,26561,26731,26250,
1,0,0, 25.03.2025 15:23:59,1,23804,24229,24144,24062,24020,23942,23970,23983,23942,26860,27250,27068,26953,26760,26680,26568,26729,26245,
2,0,0, 25.03.2025 15:23:59,2,23798,24230,24129,24049,24026,23942,23959,23961,23956,26838,27248,27073,26967,26739,26715,26539,26730,26256,
3,0,0, 25.03.2025 15:23:59,3,23795,24228,24135,24034,24015,23935,23962,23980,23951,26835,27244,27069,26958,26766,26711,26561,26714,26254,
4,0,0, 25.03.2025 15:23:59,4,23803,24232,24127,24051,24038,23925,23947,23976,23959,26842,27250,27061,26956,26757,26683,26552,26720,26249,
5,0,0, 25.03.2025 15:23:59,5,23801,24234,24137,24051,24034,23940,23964,23976,23962,26837,27247,27083,26952,26760,26698,26559,26729,26245,
6,0,0, 25.03.2025 15:23:59,6,23795,24220,24132,24053,24031,23936,23955,23968,23953,26836,27255,27077,26944,26747,26683,26557,26724,26240,
7,0,0, 25.03.2025 15:23:59,7,23813,24228,24131,24044,24032,23936,23960,23971,23950,26850,27242,27071,26956,26766,26695,26557,26713,26244,
8,0,0, 25.03.2025 15:23:59,8,23787,24232,24133,24051,24034,23944,23965,23970,23956,26838,27226,27079,26962,26758,26713,26548,26724,26233,
9,0,0, 25.03.2025 15:23:59,9,23795,24231,24127,24047,24030,23935,23968,23968,23965,26822,27247,27073,26951,26758,26708,26553,26716,26253,
10,1,0, 25.03.2025 15:25:56,0,28094,23992,24108,24181,24089,23969,23998,24012,23956,30659,27233,27213,27198,26947,26798,26717,26839,26356,
11,1,0, 25.03.2025 15:25:56,1,28085,23986,24114,24173,24089,23976,23988,24014,23938,30659,27231,27209,27191,26934,26811,26713,26834,26360,
12,1,0, 25.03.2025 15:25:56,2,28101,24007,24105,24178,24081,23943,24002,23998,23960,30659,27220,27194,27203,26940,26811,26721,26843,26350,
13,1,0, 25.03.2025 15:25:56,3,28102,23988,24110,24171,24083,23981,23981,23998,23954,30671,27228,27204,27200,26942,26818,26712,26857,26354,
14,1,0, 25.03.2025 15:25:56,4,28100,24007,24111,24167,24086,23968,23993,24006,23951,30668,27214,27188,27196,26939,26823,26724,26857,26359,
15,1,0, 25.03.2025 15:25:56,5,28097,23998,24109,24182,24081,23955,23973,24002,23954,30669,27232,27192,27186,26930,26825,26712,26853,26341,
16,1,0, 25.03.2025 15:25:56,6,28095,23984,24105,24187,24089,23968,23994,24010,23955,30662,27245,27195,27193,26946,26824,26716,26842,26367,
17,1,0, 25.03.2025 15:25:56,7,28107,23985,24117,24186,24091,23963,23978,23990,23956,30669,27224,27196,27194,26946,26811,26722,26855,26345,
18,1,0, 25.03.2025 15:25:56,8,28131,23992,24109,24187,24094,23966,23990,24018,23928,30675,27230,27192,27200,26942,26818,26709,26853,26349,
19,1,0, 25.03.2025 15:25:56,9,28106,24002,24119,24172,24100,23956,23983,24000,23940,30671,27235,27202,27196,26955,26806,26709,26848,26357,
20,2,1, 25.03.2025 15:26:02,0,29451,23954,24095,24167,24066,23954,23988,23999,23934,31951,27230,27180,27181,26951,26810,26688,26830,26343,
21,2,1, 25.03.2025 15:26:02,1,29443,23964,24096,24160,24067,23958,23980,23986,23944,31963,27227,27195,27190,26939,26816,26691,26847,26347,
22,2,1, 25.03.2025 15:26:02,2,29450,23980,24099,24155,24072,23943,23979,24008,23956,31960,27222,27198,27198,26931,26821,26704,26836,26349,
23,2,1, 25.03.2025 15:26:02,3,29454,23968,24102,24155,24083,23941,23960,24000,23929,31967,27216,27191,27190,26944,26831,26706,26826,26334,
24,2,1, 25.03.2025 15:26:02,4,29451,23957,24101,24162,24076,23951,23974,23997,23934,31976,27220,27192,27202,26934,26791,26718,26831,26346,
25,2,1, 25.03.2025 15:26:02,5,29443,23960,24085,24160,24067,23943,23980,24001,23944,31964,27220,27180,27180,26930,26803,26697,26835,26330,
26,2,1, 25.03.2025 15:26:02,6,29450,23986,24089,24162,24061,23947,23963,24006,23937,31962,27208,27197,27199,26931,26813,26687,26847,26341,
27,2,1, 25.03.2025 15:26:02,7,29450,23957,24099,24166,24067,23957,23959,23975,23932,31980,27227,27199,27189,26936,26826,26709,26829,26363,
28,2,1, 25.03.2025 15:26:02,8,29440,23958,24109,24163,24075,23940,23976,23992,23935,31982,27212,27196,27189,26934,26798,26700,26842,26345,
29,2,1, 25.03.2025 15:26:02,9,29459,23960,24101,24153,24070,23941,23967,24010,23937,31995,27216,27194,27176,26930,26792,26712,26850,26346,
30,3,2, 25.03.2025 15:26:13,0,31111,23922,24083,24135,24042,23926,23958,23969,23923,33631,27202,27187,27164,26921,26795,26705,26807,26318,
31,3,2, 25.03.2025 15:26:13,1,31117,23928,24062,24143,24061,23928,23948,23964,23920,33607,27195,27182,27171,26928,26792,26686,26824,26341,
32,3,2, 25.03.2025 15:26:13,2,31115,23940,24079,24135,24050,23925,23946,23960,23913,33628,27198,27189,27175,26915,26798,26679,26833,26312,
33,3,2, 25.03.2025 15:26:13,3,31122,23945,24065,24130,24041,23923,23940,23972,23927,33619,27186,27194,27168,26918,26774,26687,26822,26318,
34,3,2, 25.03.2025 15:26:13,4,31113,23931,24070,24133,24054,23931,23961,23966,23910,33606,27200,27190,27183,26915,26783,26683,26830,26310,
35,3,2, 25.03.2025 15:26:13,5,31103,23948,24078,24139,24054,23934,23944,23962,23922,33626,27193,27183,27176,26913,26801,26693,26820,26324,
